Timestamp (Local),at7_nhx,at4_nhx,at6_nhx,plant_inf_q,at7_z2_do,at7_z3_do
10/5/2023 15:00,1.58,1.88,2.42,16.1,0.49,0.58
10/5/2023 15:20,1.54,1.98,2.48,15.9,0.55,0.46
10/5/2023 15:40,1.69,1.85,2.47,15.33,0.5,0.44
10/5/2023 16:00,1.84,1.68,2.33,15.43,0.42,0.44
10/5/2023 16:20,2,1.48,2.11,15.59,0.38,0.42
10/5/2023 16:40,2.06,1.27,1.96,15.25,0.5,0.45
10/5/2023 17:00,2.07,1.07,1.97,15.39,0.52,0.65
10/5/2023 17:20,1.92,0.82,1.99,15.94,0.41,0.68
10/5/2023 17:40,1.74,0.74,1.62,16.61,0.45,0.64
10/5/2023 18:00,1.65,0.89,1.52,16.78,0.67,0.66
10/5/2023 18:20,1.63,1.18,1.78,16.41,0.51,0.52
10/5/2023 18:40,1.55,1.52,1.9,18.26,0.46,0.51
10/5/2023 19:00,1.56,1.8,1.81,19.95,0.56,0.51
10/5/2023 19:20,1.54,1.82,1.87,19.16,0.53,0.64
10/5/2023 19:40,1.51,2.1,1.81,18.76,0.49,0.64
10/5/2023 20:00,1.57,2.5,2.01,19.06,0.64,0.6
10/5/2023 20:20,1.68,2.57,2.08,19.48,0.61,0.52
10/5/2023 20:40,1.76,2.47,2.1,20.28,0.54,0.54
10/5/2023 21:00,1.85,2.13,1.99,19.94,0.71,0.65
10/5/2023 21:20,2.09,1.78,1.91,20.61,0.79,0.64
10/5/2023 21:40,2.14,1.39,2.04,20.52,0.78,0.85
10/5/2023 22:00,2.07,1.25,2.3,20.36,0.71,0.85
10/5/2023 22:20,2.08,1.17,2.48,19.66,0.84,0.85
10/5/2023 22:40,2,1.15,2.47,20.07,0.65,0.79
10/5/2023 23:00,2.25,1.21,2.39,19.65,0.86,0.86
10/5/2023 23:20,2.17,1.29,2.25,19.09,0.88,0.95
10/5/2023 23:40,2.09,1.41,2.24,17.46,1.22,1.07
10/6/2023 0:00,1.97,1.49,2.46,16.46,0.86,1.01
10/6/2023 0:20,1.72,1.46,2.45,15.16,0.95,0.98
10/6/2023 0:40,1.4,1.28,2.14,14.41,1.01,0.78
10/6/2023 1:00,1.19,1.11,1.69,13.46,0.89,0.83
10/6/2023 1:20,0.98,1.11,1.08,13.04,0.72,0.89
10/6/2023 1:40,0.55,1.11,1.08,12.45,0.84,0.71
10/6/2023 2:00,0.27,1.11,1.08,11.34,0.76,0.64
10/6/2023 2:20,0.18,0.22,0.23,10.71,0.55,0.59
10/6/2023 2:40,0.09,0.07,0.1,10.26,0.56,0.33
10/6/2023 3:00,0.01,0.02,-0.02,9.75,0.42,0.37
10/6/2023 3:20,-0.01,0.03,-0.05,10.11,0.31,0.48
10/6/2023 3:40,-0.01,0.01,-0.06,9.27,0.35,0.57
10/6/2023 4:00,0,0,-0.07,8.76,0.5,0.71
10/6/2023 4:20,-0.02,0.02,-0.07,8.56,0.36,0.83
10/6/2023 4:40,-0.01,-0.01,-0.07,8.33,0.34,0.87
10/6/2023 5:00,-0.01,0.01,-0.04,8.39,0.26,0.89
10/6/2023 5:20,-0.01,-0.01,-0.02,8.79,0.27,0.94
10/6/2023 5:40,-0.02,0.01,-0.05,9.02,0.39,0.95
10/6/2023 6:00,0,-0.01,-0.07,9.15,0.41,1.04
10/6/2023 6:20,0,0,-0.06,9.65,0.22,1
10/6/2023 6:40,-0.03,0,-0.04,10.79,0.3,1.03
10/6/2023 7:00,-0.02,0,-0.02,11.4,0.19,1.06
10/6/2023 7:20,0,0.01,-0.01,13,0.26,1.02
10/6/2023 7:40,-0.01,-0.01,-0.05,17.75,-0.01,0.02
10/6/2023 8:00,-0.02,0.01,0.01,10.69,-0.01,0.02
10/6/2023 8:20,0.03,0.02,0.1,15.5,-0.01,0.07
10/6/2023 8:40,0.08,0.02,0.7,19.28,0.12,1.05
10/6/2023 9:00,1.07,0.57,2.28,18.3,0.14,0.48
10/6/2023 9:20,1.12,0.55,2.43,17.85,0.18,0.35
10/6/2023 9:40,1.5,0.45,2.4,17.45,0.23,0.3
10/6/2023 10:00,2.18,0.75,2.6,18.63,0.36,0.26
10/6/2023 10:20,2.72,1.27,3.1,18.41,0.41,0.35
10/6/2023 10:40,2.84,1.78,3.42,18.2,0.71,0.59
10/6/2023 11:00,2.84,2.28,3.4,18.29,0.86,0.81
10/6/2023 11:20,2.52,2.55,3.07,18.53,0.72,0.88
10/6/2023 11:40,2.01,2.57,2.65,18.54,0.77,0.76
